Sample.Name,Wavelength,Genotype,Mean
971022,X1684.403957,X97,-0.025076785914673636
971022,X1688.276149,X97,-0.020366891010019487
971022,X1692.166184,X97,-0.013253381320836045
971022,X1696.074188,X97,-0.0042766406922001045
971022,X1700.000284,X97,0.005376464474251191
971022,X1703.944599,X97,0.01413047300096932
971022,X1707.90726,X97,0.020372375928678986
971022,X1711.888394,X97,0.02285442212077112
971022,X1715.888132,X97,0.0210640992237662
971022,X1719.906604,X97,0.015330789730122642
971022,X1723.943942,X97,0.006870736507218207
971022,X1728.000279,X97,-0.002524579013682491
971022,X1732.07575,X97,-0.010830488236910175
971022,X1736.17049,X97,-0.01623158471988805
971022,X1740.284637,X97,-0.01751953951141998
971022,X1744.418328,X97,-0.014337960748222432
971022,X1748.571704,X97,-0.007215128229907314
971022,X1752.744904,X97,0.002619129513035899
971022,X1756.938072,X97,0.013584975037707385
971022,X1761.151352,X97,0.02411161741435013
971022,X1765.384887,X97,0.032923741081663536
971022,X1769.638825,X97,0.03927432734109049
971022,X1773.913313,X97,0.04288898302628765
971022,X1778.208501,X97,0.04371001939991369
971022,X1782.52454,X97,0.04177630775856473
971022,X1786.861581,X97,0.03714547845561256
971022,X1791.219778,X97,0.029915733297241613
971022,X1795.599287,X97,0.02030359985886657
971022,X1800.000264,X97,0.00868754719403135
971022,X1804.422868,X97,-0.004473999980069174
971022,X1808.867257,X97,-0.018925938848308725
971022,X1813.333595,X97,-0.035066057598578004
971022,X1817.822042,X97,-0.053889291594483864
971022,X1822.332765,X97,-0.07702589708090916
971022,X1826.86593,X97,-0.1061482966515834
971022,X1831.421703,X97,-0.14203364621471662
971022,X1836.000256,X97,-0.18368424974951494
971022,X1840.601759,X97,-0.22772813530435237
971022,X1845.226384,X97,-0.268422559399375
971022,X1849.874308,X97,-0.2983490694834086
971022,X1854.545706,X97,-0.30969028828592954
971022,X1859.240757,X97,-0.29586413375834947
971022,X1863.95964,X97,-0.25321260042291527
971022,X1868.702538,X97,-0.18197999229767314
971022,X1873.469635,X97,-0.08832130920620579
971022,X1878.261115,X97,0.017184549640594397
971022,X1883.077167,X97,0.12158016117652409
971022,X1887.917981,X97,0.21190879887254851
971022,X1892.783747,X97,0.2779771891733457
971022,X1897.674659,X97,0.3142723494983835
971022,X1902.590913,X97,0.3206382325958841
971022,X1907.532705,X97,0.3016357710679268
971022,X1912.500237,X97,0.26493319605532206
971022,X1917.493708,X97,0.2193105455895818
971022,X1922.513323,X97,0.1728337733719564
971022,X1927.559288,X97,0.13156529325059244
971022,X1932.63181,X97,0.09890911740427699
971022,X1937.7311,X97,0.07562465646412393
971022,X1942.857371,X97,0.05975423149283561
971022,X1948.010837,X97,0.04902741043250375
971022,X1953.191715,X97,0.041249507149429064
971022,X1958.400224,X97,0.034873811932072896
971022,X1963.636586,X97,0.029135866234486305
971022,X1968.901025,X97,0.023845063405031487
971022,X1974.193768,X97,0.019037821197694812
971022,X1979.515043,X97,0.014690043429918176
971022,X1984.865081,X97,0.010605651263089867
971022,X1990.244117,X97,0.006485532492242997
971022,X1995.652387,X97,0.0020929384817390834
971022,X2001.09013,X97,-0.0025616909782372878
971022,X2006.557587,X97,-0.007208571272408912
971022,X2012.055002,X97,-0.011404763038946568
971022,X2017.582624,X97,-0.01472042771638669
971022,X2023.1407,X97,-0.01688593588876347
971022,X2028.729484,X97,-0.017844147909286887
971022,X2034.349231,X97,-0.017712426002585994
971022,X2040.000199,X97,-0.016698489272247537
971022,X2045.682649,X97,-0.015027171513143875
971022,X2051.396843,X97,-0.012914408130252115
971022,X2057.143051,X97,-0.010583381063348662
971022,X2062.92154,X97,-0.008287736376858557
971022,X2068.732584,X97,-0.006291757268369069
971022,X2074.576459,X97,-0.004793985478884004
971022,X2080.453444,X97,-0.0038148338310712085
971022,X2086.36382,X97,-0.003164764236694916
971022,X2092.307874,X97,-0.0024750053097396456
971022,X2098.285894,X97,-0.001333201972635347
971022,X2104.298172,X97,5.321880532210783e-4
971022,X2110.345003,X97,0.0030984391154922825
971022,X2116.426686,X97,0.00599989162895915
971022,X2122.543524,X97,0.008616860763844039
971022,X2128.695821,X97,0.010272602406270162
971022,X2134.883888,X97,0.010454398973281638
971022,X2141.108036,X97,0.00894079610321042
971022,X2147.368583,X97,0.00584486256302517
971022,X2153.665849,X97,0.0014156625716437515
971022,X2160.000158,X97,-0.00418692083818164
971022,X2166.371837,X97,-0.011049502132084055
971022,X2172.781218,X97,-0.019499289362745337
971022,X2179.228637,X97,-0.029909579831394435
971022,X2185.714434,X97,-0.04238045372387407
971022,X2192.238952,X97,-0.056427774235617234
971022,X2198.802538,X97,-0.07081899551120432
971022,X2205.405546,X97,-0.08364397343137252
971022,X2212.048331,X97,-0.09263462483947395
971022,X2218.731253,X97,-0.09566594383591895
971022,X2225.454678,X97,-0.09130562217410035
971022,X2232.218975,X97,-0.07947955784583079
971022,X2239.024517,X97,-0.061511364409610116
971022,X2245.871684,X97,-0.03996701446509413
971022,X2252.760858,X97,-0.018074310728830128
971022,X2259.692427,X97,0.0010256229578751482
971022,X2266.666783,X97,0.015002913332255887
971022,X2273.684324,X97,0.022827651174854458
971022,X2280.745452,X97,0.024878733966279
971022,X2287.850574,X97,0.022657386470049553
971022,X2295.000104,X97,0.018227856237879942
971022,X2302.194458,X97,0.013585896763628548
971022,X2309.43406,X97,0.010147394828162234
971022,X2316.719338,X97,0.008479842924477454
971022,X2324.050724,X97,0.008318711783559637
971022,X2331.42866,X97,0.008756240495582839
971022,X2338.853588,X97,0.008831978307477107
971022,X2346.32596,X97,0.007813680612475954
971022,X2353.846232,X97,0.005389880942146446
971022,X2361.414866,X97,0.0016930788798752321
971022,X2369.03233,X97,-0.002802729378851136
971022,X2376.699097,X97,-0.0074354313707711995
971022,X2384.415649,X97,-0.011493371120824958
971022,X2392.182471,X97,-0.014309901210838237
971022,X2400.000057,X97,-0.015325637147489595
971022,X2407.868906,X97,-0.014145068730338326
971022,X2415.789523,X97,-0.010555733651583582
971022,X2423.762422,X97,-0.004723483906108664
971022,X2431.788122,X97,0.0028968469606228697
971022,X2439.867148,X97,0.011605592241327168
971022,X2448.000034,X97,0.020558222301766862
971022,X2456.187321,X97,0.02888503448814897
971022,X2464.429556,X97,0.03579952688380733
971022,X2472.727295,X97,0.04068184291192618
971022,X2481.081099,X97,0.04313948698373207
971022,X2489.491539,X97,0.04304579781808858
971022,X2497.959193,X97,0.043045797818088684
971022,X2506.484647,X97,0.043045797818088684
971022,X2515.068494,X97,0.043045797818088684
971022,X2523.711336,X97,0.043045797818088684
971022,X2532.413785,X97,0.043045797818088684
971022,X2541.176458,X97,0.043045797818088684
971022,X2549.999982,X97,0.043045797818088684
971145,X1350.000323,X97,-0.106151570412088
971145,X1352.48651,X97,-0.106151570412088
971145,X1354.981872,X97,-0.106151570412088
971145,X1357.486459,X97,-0.106151570412088
971145,X1360.000322,X97,-0.106151570412088
971145,X1362.523513,X97,-0.106151570412088
971145,X1365.056084,X97,-0.106151570412088
971145,X1367.598087,X97,-0.10615157041208828
971145,X1370.149576,X97,-0.12781775053975455
971145,X1372.710602,X97,-0.14527413477213993
971145,X1375.28122,X97,-0.15620360126858465
971145,X1377.861485,X97,-0.15808050778334443
971145,X1380.451449,X97,-0.14878089731685004
971145,X1383.051169,X97,-0.12740665825468683
971145,X1385.660698,X97,-0.094820505100733
971145,X1388.280094,X97,-0.05370587478237501
971145,X1390.909412,X97,-0.00817965590066848
971145,X1393.548708,X97,0.03702711062486482
971145,X1396.198039,X97,0.07754275451734495
971145,X1398.857463,X97,0.1101353974601374
971145,X1401.527038,X97,0.13312435004417097
971145,X1404.206821,X97,0.14636940685520333
