Sample.Name,Wavelength,Genotype,Mean
971145,X1385.660698,X97,37.41645353
971145,X1388.280094,X97,35.39855377
971145,X1390.909412,X97,33.31744898
971145,X1393.548708,X97,31.24694529
971145,X1396.198039,X97,29.25451918
971145,X1398.857463,X97,27.3929682
971145,X1401.527038,X97,25.6935842
971145,X1404.206821,X97,24.17441453
971145,X1406.896872,X97,22.8412026
971145,X1409.597249,X97,21.68867125
971145,X1412.308012,X97,20.70249032
971145,X1415.029221,X97,19.86298854
971145,X1417.760937,X97,19.15016507
971145,X1420.50322,X97,18.54775965
971145,X1423.256133,X97,18.04482912
971145,X1426.019736,X97,17.63769003
971145,X1428.794093,X97,17.32014856
971145,X1431.579266,X97,17.08058265
971145,X1434.375318,X97,16.90526326
971145,X1437.182314,X97,16.77723488
971145,X1440.000318,X97,16.68065397
971145,X1442.829394,X97,16.60460899
971145,X1445.669608,X97,16.54462249
971145,X1448.521027,X97,16.50182954
971145,X1451.383716,X97,16.48074194
971145,X1454.257742,X97,16.48659065
971145,X1457.143173,X97,16.52404668
971145,X1460.040077,X97,16.59605812
971145,X1462.948523,X97,16.70223678
971145,X1465.868579,X97,16.84469711
971145,X1468.800315,X97,17.02560963
971145,X1471.743802,X97,17.24502562
971145,X1474.69911,X97,17.49874233
971145,X1477.66631,X97,17.77829521
971145,X1480.645475,X97,18.07371747
971145,X1483.636678,X97,18.37809438
971145,X1486.63999,X97,18.691113
971145,X1489.655486,X97,19.01935713
971145,X1492.68324,X97,19.37483987
971145,X1495.723327,X97,19.75970841
971145,X1498.775823,X97,20.16916477
971145,X1501.840803,X97,20.59035739
971145,X1504.918345,X97,21.00805718
971145,X1508.008525,X97,21.41245402
971145,X1511.111422,X97,21.80474941
971145,X1514.227115,X97,22.19697853
971145,X1517.355682,X97,22.60587909
971145,X1520.497205,X97,23.04376706
971145,X1523.651762,X97,23.51112434
971145,X1526.819436,X97,23.99542143
971145,X1530.000309,X97,24.4728738
971145,X1533.194463,X97,24.92548645
971145,X1536.401982,X97,25.34868589
971145,X1539.62295,X97,25.75234629
971145,X1542.857451,X97,26.15495745
971145,X1546.105571,X97,26.57346565
971145,X1549.367396,X97,27.0142544
971145,X1552.643013,X97,27.46977763
971145,X1555.93251,X97,27.92238891
971145,X1559.235975,X97,28.35329226
971145,X1562.553497,X97,28.75128296
971145,X1565.885166,X97,29.11791162
971145,X1569.231074,X97,29.46687789
971145,X1572.591311,X97,29.81212755
971145,X1575.965969,X97,30.16248758
971145,X1579.355142,X97,30.51919127
971145,X1582.758923,X97,30.87823153
971145,X1586.177408,X97,31.23535977
971145,X1589.610691,X97,31.59026537
971145,X1593.05887,X97,31.94694325
971145,X1596.52204,X97,32.31006881
971145,X1600.0003,X97,32.67990185
971145,X1603.49375,X97,33.04910017
971145,X1607.002488,X97,33.4031396
971145,X1610.526615,X97,33.72971332
971145,X1614.066232,X97,34.02447908
971145,X1617.621443,X97,34.29348926
971145,X1621.19235,X97,34.55030437
971145,X1624.779058,X97,34.80901615
971145,X1628.381671,X97,35.0767796
971145,X1632.000296,X97,35.34980012
971145,X1635.635039,X97,35.61493805
971145,X1639.286009,X97,35.85585928
971145,X1642.953314,X97,36.06029747
971145,X1646.637065,X97,36.22213951
971145,X1650.337371,X97,36.34882836
971145,X1654.054346,X97,36.44793192
971145,X1657.788102,X97,36.52425999
971145,X1661.538753,X97,36.57758648
971145,X1665.306413,X97,36.6040775
971145,X1669.091199,X97,36.59973106
971145,X1672.893228,X97,36.56324911
971145,X1676.712617,X97,36.49628952
971145,X1680.549487,X97,36.40095932
971145,X1684.403957,X97,36.27669072
971145,X1688.276149,X97,36.1184906
971145,X1692.166184,X97,35.91889015
971145,X1696.074188,X97,35.68067267
971145,X1700.000284,X97,35.41528726
971145,X1703.944599,X97,35.14511743
971145,X1707.90726,X97,34.89787066
971145,X1711.888394,X97,34.69736867
971145,X1715.888132,X97,34.55490337
971145,X1719.906604,X97,34.46498179
971145,X1723.943942,X97,34.40719265
971145,X1728.000279,X97,34.35330679
971145,X1732.07575,X97,34.27655644
971145,X1736.17049,X97,34.15806047
971145,X1740.284637,X97,33.99148413
971145,X1744.418328,X97,33.78551221
971145,X1748.571704,X97,33.55194803
971145,X1752.744904,X97,33.30427994
971145,X1756.938072,X97,33.0563351
971145,X1761.151352,X97,32.82256749
971145,X1765.384887,X97,32.618356
971145,X1769.638825,X97,32.45894048
971145,X1773.913313,X97,32.3568496
971145,X1778.208501,X97,32.31888291
971145,X1782.52454,X97,32.34437929
971145,X1786.861581,X97,32.42693162
971145,X1791.219778,X97,32.5551051
971145,X1795.599287,X97,32.71459433
971145,X1800.000264,X97,32.89572835
971145,X1804.422868,X97,33.08962536
971145,X1808.867257,X97,33.2852205
971145,X1813.333595,X97,33.46679371
971145,X1817.822042,X97,33.61423448
971145,X1822.332765,X97,33.70647454
971145,X1826.86593,X97,33.72603016
971145,X1831.421703,X97,33.66076658
971145,X1836.000256,X97,33.49946788
971145,X1840.601759,X97,33.2183081
971145,X1845.226384,X97,32.7616809
971145,X1849.874308,X97,32.06046111
971145,X1854.545706,X97,31.02179459
971145,X1859.240757,X97,29.56119081
971145,X1863.95964,X97,27.63482081
